Year,Municipality,GER
2010,Crato,87.2
2010,Elvas,162.8
2010,Fronteira,192.5
2010,Gavião,22.5
2010,Marvão,25.6
2010,Monforte,
2010,Nisa,205.7
2010,Ponte de Sor,145.8
2010,Portalegre,297.7
2010,Sousel,50.6
2010,Aljustrel,236.1
2010,Almodôvar,226.9
2010,Alvito,112.5
2010,Barrancos,623.1
2010,Beja,217.6
2010,Castro Verde,107.1
2010,Cuba,139.5
2010,Ferreira do Alentejo,83.8
2010,Mértola,294.0
2010,Moura,194.0
2010,Ourique,87.1
2010,Serpa,118.0
2010,Vidigueira,417.6
2010,Azambuja,102.1
2010,Almeirim,148.3
2010,Alpiarça,52.9
2010,Benavente,82.3
2010,Cartaxo,94.5
2010,Chamusca,54.6
2010,Coruche,123.7
2010,Golegã,45.1
2010,Rio Maior,103.7
2010,Salvaterra de Magos,209.0
2010,Santarém,199.3
2010,Albufeira,144.0
2010,Alcoutim,145.5
2010,Aljezur,
2010,Castro Marim,
2010,Faro,245.2
2010,Lagoa,46.9
2010,Lagos,198.3
2010,Loulé,150.9
2010,Monchique,17.3
2010,Olhão,104.2
2010,Portimão,240.5
2010,São Brás de Alportel,170.7
2010,Silves,120.1
2010,Tavira,158.8
2010,Vila do Bispo,
2010,Vila Real de Santo António,232.5
2011,Arcos de Valdevez,208.2
2011,Caminha,228.7
2011,Melgaço,208.8
2011,Monção,217.4
2011,Paredes de Coura,153.8
2011,Ponte da Barca,116.6
2011,Ponte de Lima,123.5
2011,Valença,120.7
2011,Viana do Castelo,211.9
2011,Vila Nova de Cerveira,250.8
2011,Boticas,6.3
2011,Chaves,216.9
2011,Montalegre,100.8
2011,Ribeira de Pena,90.3
2011,Valpaços,106.0
2011,Vila Pouca de Aguiar,96.8
2011,Arouca,106.7
2011,Espinho,252.4
2011,Santa Maria da Feira,109.1
2011,Oliveira de Azeméis,101.2
2011,São João da Madeira,334.8
2011,Vale de Cambra,119.3
2011,Gondomar,96.0
2011,Maia,77.9
2011,Matosinhos,114.5
2011,Paredes,90.0
2011,Porto,447.2
2011,Póvoa de Varzim,120.0
2011,Santo Tirso,150.3
2011,Valongo,107.9
2011,Vila do Conde,98.9
2011,Vila Nova de Gaia,98.2
2011,Trofa,104.7
2011,Mondim de Basto,117.3
2011,Cabeceiras de Basto,111.0
2011,Fafe,90.0
2011,Guimarães,106.9
2011,Póvoa de Lanhoso,129.5
2011,Vieira do Minho,89.9
2011,Vila Nova de Famalicão,143.8
2011,Vizela,102.0
2011,Amares,106.9
2011,Barcelos,113.7
2011,Braga,200.4
2011,Esposende,102.0
2011,Terras de Bouro,99.2
2011,Vila Verde,117.2
2011,Alijó,87.9
2011,Mesão Frio,133.8
2011,Murça,165.7
2011,Peso da Régua,212.5
2011,Sabrosa,190.1
2011,Santa Marta de Penaguião,
2011,Vila Real,211.0
2011,Armamar,
2011,Lamego,202.9
2011,Moimenta da Beira,211.4
2011,Penedono,
2011,São João da Pesqueira,246.7
2011,Sernancelhe,112.9
2011,Tabuaço,78.8
2011,Tarouca,68.9
2011,Carrazeda de Ansiães,166.7
2011,Freixo de Espada à Cinta,11.4
2011,Torre de Moncorvo,119.1
2011,Vila Nova de Foz Côa,93.3
2011,Castelo de Paiva,101.0
2011,Amarante,139.4
2011,Baião,86.8
2011,Felgueiras,117.8
2011,Lousada,85.6
2011,Marco de Canaveses,95.1
2011,Paços de Ferreira,90.7
2011,Penafiel,106.1
2011,Cinfães,137.0
2011,Resende,118.2
2011,Celorico de Basto,130.2
2011,Alfândega da Fé,127.3
2011,Bragança,210.4
2011,Macedo de Cavaleiros,122.8
2011,Miranda do Douro,179.7
2011,Mirandela,152.4
2011,Mogadouro,96.5
2011,Vila Flor,94.9
2011,Vimioso,
2011,Vinhais,96.5
2011,Castelo Branco,206.3
2011,Idanha-a-Nova,211.8
2011,Oleiros,81.4
2011,Penamacor,70.4
2011,Proença-a-Nova,96.4
2011,Vila Velha de Ródão,
2011,Belmonte,68.4
2011,Covilhã,185.0
2011,Fundão,136.5
2011,Almeida,98.8
2011,Celorico da Beira,65.4
2011,Figueira de Castelo Rodrigo,111.9
2011,Fornos de Algodres,113.0
2011,Gouveia,144.8
2011,Guarda,197.5
2011,Manteigas,140.8
2011,Meda,94.7
2011,Pinhel,106.2
2011,Sabugal,74.4
2011,Seia,154.0
2011,Trancoso,197.2
2011,Abrantes,143.2
2011,Alcanena,89.7
2011,Constância,55.6
2011,Entroncamento,133.7
2011,Ferreira do Zêzere,85.3
2011,Mação,247.8
2011,Sardoal,120.9
2011,Tomar,169.8
2011,Torres Novas,170.1
2011,Vila Nova da Barquinha,43.1
2011,Ourém,146.3
2011,Sertã,174.1
2011,Vila de Rei,38.7
2011,Alcobaça,130.5
2011,Bombarral,113.8
2011,Caldas da Rainha,164.8
2011,Nazaré,136.7
2011,Óbidos,99.3
2011,Peniche,120.0
2011,Alenquer,96.4
2011,Arruda dos Vinhos,207.4
2011,Cadaval,92.4
2011,Lourinhã,104.9
2011,Sobral de Monte Agraço,59.7
2011,Torres Vedras,151.4
2011,Águeda,116.7
2011,Albergaria-a-Velha,113.4
2011,Anadia,120.0
2011,Aveiro,191.7
2011,Estarreja,107.7
2011,Ílhavo,75.8
2011,Murtosa,25.3
2011,Oliveira do Bairro,112.6
2011,Ovar,103.8
2011,Sever do Vouga,170.9
2011,Vagos,130.5
2011,Mealhada,86.4
2011,Mortágua,175.5
2011,Arganil,236.9
2011,Cantanhede,135.3
2011,Coimbra,201.9
2011,Condeixa-a-Nova,70.7
2011,Figueira da Foz,130.9
2011,Góis,8.5
2011,Lousã,131.6
2011,Mira,72.2
2011,Miranda do Corvo,59.2
2011,Montemor-o-Velho,133.5
2011,Oliveira do Hospital,112.0
2011,Pampilhosa da Serra,124.3
2011,Penacova,72.8
2011,Penela,53.7
2011,Soure,184.1
2011,Tábua,74.6
2011,Vila Nova de Poiares,113.6
2011,Alvaiázere,84.6
2011,Ansião,164.9
2011,Batalha,86.9
2011,Castanheira de Pêra,
2011,Figueiró dos Vinhos,179.2
2011,Leiria,126.4
2011,Marinha Grande,185.0
2011,Pedrógão Grande,237.3
2011,Pombal,140.4
2011,Porto de Mós,113.3
2011,Carregal do Sal,78.8
2011,Castro Daire,122.5
2011,Mangualde,110.0
2011,Nelas,101.5
2011,Oliveira de Frades,121.5
2011,Penalva do Castelo,85.6
2011,Santa Comba Dão,142.8
2011,São Pedro do Sul,134.7
2011,Sátão,92.4
2011,Tondela,126.9
2011,Vila Nova de Paiva,81.9
2011,Viseu,147.8
2011,Vouzela,101.4
2011,Aguiar da Beira,91.2
2011,Cascais,133.5
2011,Lisboa,299.3
2011,Loures,96.1
2011,Mafra,100.3
2011,Oeiras,130.6
2011,Sintra,86.1
2011,Vila Franca de Xira,128.2
2011,Amadora,151.0
2011,Odivelas,120.5
2011,Alcochete,135.5
2011,Almada,153.2
2011,Barreiro,197.9
2011,Moita,74.4
2011,Montijo,137.0
2011,Palmela,127.3
2011,Seixal,119.4
2011,Sesimbra,81.6
2011,Setúbal,168.9
2011,Alandroal,45.8
2011,Arraiolos,129.5
2011,Borba,28.2
2011,Estremoz,210.6
2011,Évora,221.4
2011,Montemor-o-Novo,118.3
2011,Mora,117.4
2011,Mourão,1.8
2011,Portel,16.8
2011,Redondo,78.0
2011,Reguengos de Monsaraz,139.1
2011,Vendas Novas,193.0
2011,Viana do Alentejo,160.5
2011,Vila Viçosa,200.0
2011,Alcácer do Sal,112.3
2011,Grândola,120.6
2011,Santiago do Cacém,262.1
2011,Sines,134.0
2011,Odemira,141.6
2011,Alter do Chão,173.2
2011,Arronches,14.6
2011,Avis,122.4
2011,Campo Maior,143.0
2011,Castelo de Vide,56.5
2011,Crato,117.1
2011,Elvas,134.2
2011,Fronteira,260.6
2011,Gavião,32.4
2011,Marvão,26.8
2011,Monforte,
2011,Nisa,198.6
2011,Ponte de Sor,196.6
2011,Portalegre,261.1
2011,Sousel,20.0
2011,Aljustrel,542.0
2011,Almodôvar,200.0
2011,Alvito,427.6
2011,Barrancos,27.3
2011,Beja,193.0
2011,Castro Verde,115.6
2011,Cuba,115.2
2011,Ferreira do Alentejo,52.3
2011,Mértola,192.4
2011,Moura,135.4
2011,Ourique,108.0
2011,Serpa,250.8
2011,Vidigueira,90.9
2011,Azambuja,86.2
2011,Almeirim,112.2
2011,Alpiarça,47.7
2011,Benavente,76.8
2011,Cartaxo,91.1
2011,Chamusca,68.4
2011,Coruche,124.5
2011,Golegã,52.1
2011,Rio Maior,118.0
2011,Salvaterra de Magos,162.8
2011,Santarém,192.0
2011,Albufeira,130.4
2011,Alcoutim,133.3
2011,Aljezur,
2011,Castro Marim,
2011,Faro,200.5
2011,Lagoa,69.5
2011,Lagos,172.0
2011,Loulé,159.9
2011,Monchique,246.9
2011,Olhão,101.3
2011,Portimão,241.6
2011,São Brás de Alportel,133.5
2011,Silves,121.5
2011,Tavira,151.2
2011,Vila do Bispo,18.8
2011,Vila Real de Santo António,193.5
2012,Arcos de Valdevez,192.0
2012,Caminha,203.2
2012,Melgaço,141.4
2012,Monção,150.8
2012,Paredes de Coura,116.9
2012,Ponte da Barca,104.3
2012,Ponte de Lima,107.6
2012,Valença,110.7
2012,Viana do Castelo,168.7
2012,Vila Nova de Cerveira,209.6
2012,Boticas,3.1
2012,Chaves,195.7
2012,Montalegre,90.5
2012,Ribeira de Pena,99.1
2012,Valpaços,88.0
2012,Vila Pouca de Aguiar,90.6
2012,Arouca,92.2
2012,Espinho,243.0
2012,Santa Maria da Feira,104.3
2012,Oliveira de Azeméis,83.0
2012,São João da Madeira,349.4
2012,Vale de Cambra,110.6
2012,Gondomar,90.5
2012,Maia,78.2
2012,Matosinhos,98.6
2012,Paredes,84.6
