Municipality,Year,Value
Benavente,2009,43.0
Cartaxo,2009,41.0
Chamusca,2009,16.0
Constância,2009,1.0
Coruche,2009,30.0
Entroncamento,2009,38.0
Ferreira do Zêzere,2009,37.0
Golegã,2009,7.0
Mação,2009,10.0
Rio Maior,2009,41.0
Salvaterra de Magos,2009,60.0
Santarém,2009,71.0
Sardoal,2009,3.0
Tomar,2009,94.0
Torres Novas,2009,70.0
Vila Nova da Barquinha,2009,4.0
Ourém,2009,71.0
Alcácer do Sal,2009,28.0
Alcochete,2009,37.0
Almada,2009,295.0
Barreiro,2009,185.0
Grândola,2009,17.0
Moita,2009,184.0
Montijo,2009,66.0
Palmela,2009,185.0
Santiago do Cacém,2009,36.0
Seixal,2009,287.0
Sesimbra,2009,83.0
Setúbal,2009,252.0
Sines,2009,17.0
Arcos de Valdevez,2009,49.0
Caminha,2009,29.0
Melgaço,2009,26.0
Monção,2009,13.0
Paredes de Coura,2009,7.0
Ponte da Barca,2009,26.0
Ponte de Lima,2009,79.0
Valença,2009,32.0
Viana do Castelo,2009,193.0
Vila Nova de Cerveira,2009,7.0
Alijó,2009,17.0
Boticas,2009,5.0
Chaves,2009,43.0
Mesão Frio,2009,15.0
Mondim de Basto,2009,7.0
Montalegre,2009,6.0
Murça,2009,9.0
Peso da Régua,2009,68.0
Ribeira de Pena,2009,13.0
Sabrosa,2009,3.0
Santa Marta de Penaguião,2009,1.0
Valpaços,2009,48.0
Vila Pouca de Aguiar,2009,18.0
Vila Real,2009,65.0
Armamar,2009,1.0
Carregal do Sal,2009,9.0
Castro Daire,2009,12.0
Cinfães,2009,54.0
Lamego,2009,50.0
Mangualde,2009,29.0
Moimenta da Beira,2009,18.0
Mortágua,2009,4.0
Nelas,2009,12.0
Oliveira de Frades,2009,21.0
Penalva do Castelo,2009,9.0
Penedono,2009,1.0
Resende,2009,18.0
Santa Comba Dão,2009,12.0
São João da Pesqueira,2009,16.0
São Pedro do Sul,2009,25.0
Sátão,2009,11.0
Sernancelhe,2009,12.0
Tabuaço,2009,12.0
Tarouca,2009,6.0
Tondela,2009,21.0
Vila Nova de Paiva,2009,3.0
Viseu,2009,248.0
Vouzela,2009,19.0
Calheta (Madeira),2009,14.0
Câmara de Lobos,2009,68.0
Funchal,2009,143.0
Machico,2009,50.0
Ponta do Sol,2009,12.0
Porto Moniz,2009,7.0
Porto Santo,2009,8.0
Ribeira Brava,2009,29.0
São Vicente,2009,8.0
Santa Cruz,2009,28.0
Santana,2009,12.0
Angra do Heroísmo,2009,81.0
Calheta (Açores),2009,9.0
Corvo,2009,1.0
Horta,2009,43.0
Lagoa (Açores),2009,177.0
Lajes das Flores,2009,9.0
Lajes do Pico,2009,8.0
Madalena,2009,9.0
Nordeste,2009,35.0
Ponta Delgada,2009,391.0
Povoação,2009,36.0
Ribeira Grande,2009,181.0
São Roque do Pico,2009,14.0
Santa Cruz  Graciosa (R.A.A),2009,3.0
Santa Cruz das Flores,2009,6.0
Velas (R.A.A.),2009,3.0
Vila Praia da Vitória,2009,34.0
Vila do Porto,2009,16.0
Vila Franca do Campo,2009,54.0
Águeda,2010,82.0
Albergaria-a-Velha,2010,33.0
Anadia,2010,44.0
Arouca,2010,24.0
Aveiro,2010,216.0
Castelo de Paiva,2010,39.0
Espinho,2010,110.0
Estarreja,2010,100.0
Santa Maria da Feira,2010,327.0
Ílhavo,2010,83.0
Mealhada,2010,22.0
Murtosa,2010,20.0
Oliveira de Azeméis,2010,141.0
Oliveira do Bairro,2010,38.0
Ovar,2010,129.0
São João da Madeira,2010,59.0
Sever do Vouga,2010,23.0
Vagos,2010,54.0
Vale de Cambra,2010,37.0
Aljustrel,2010,13.0
Almodóvar,2010,9.0
Alvito,2010,1.0
Barrancos,2010,3.0
Beja,2010,60.0
Castro Verde,2010,11.0
Cuba,2010,6.0
Ferreira do Alentejo,2010,16.0
Mértola,2010,1.0
Moura,2010,37.0
Odemira,2010,26.0
Ourique,2010,9.0
Serpa,2010,22.0
Vidigueira,2010,18.0
Amares,2010,75.0
Barcelos,2010,172.0
Braga,2010,361.0
Cabeceiras de Basto,2010,28.0
Celorico de Basto,2010,37.0
Esposende,2010,66.0
Fafe,2010,91.0
Guimarães,2010,307.0
Póvoa de Lanhoso,2010,34.0
Terras de Bouro,2010,9.0
Vieira do Minho,2010,18.0
Vila Nova de Famalicão,2010,197.0
Vila Verde,2010,126.0
Vizela,2010,42.0
Alfândega da Fé,2010,9.0
Bragança,2010,51.0
Carrazeda de Ansiães,2010,9.0
Freixo de Espada à Cinta,2010,12.0
Macedo de Cavaleiros,2010,41.0
Miranda do Douro,2010,13.0
Mirandela,2010,105.0
Mogadouro,2010,20.0
Torre de Moncorvo,2010,22.0
Vila Flor,2010,23.0
Vimioso,2010,11.0
Vinhais,2010,8.0
Belmonte,2010,22.0
Castelo Branco,2010,87.0
