Municipality,Year,Value
Sobral de Monte Agraço,2011,0.6
Torres Vedras,2011,0.5
Águeda,2011,0.7
Albergaria-a-Velha,2011,0.6
Anadia,2011,0.8
Aveiro,2011,0.6
Estarreja,2011,0.7
Ílhavo,2011,0.6
Murtosa,2011,0.6
Oliveira do Bairro,2011,0.6
Ovar,2011,0.6
Sever do Vouga,2011,0.8
Vagos,2011,0.6
Arganil,2011,1.2
Cantanhede,2011,0.9
Coimbra,2011,0.7
Condeixa-a-Nova,2011,0.7
Figueira da Foz,2011,0.8
Góis,2011,1.5
Lousã,2011,0.7
Mealhada,2011,0.8
Mira,2011,0.8
Miranda do Corvo,2011,0.8
Montemor-o-Velho,2011,0.8
Mortágua,2011,1.0
Oliveira do Hospital,2011,0.9
Pampilhosa da Serra,2011,1.9
Penacova,2011,0.8
Penela,2011,1.2
Soure,2011,1.1
Tábua,2011,0.9
Vila Nova de Poiares,2011,0.7
Alvaiázere,2011,1.7
Ansião,2011,1.0
Batalha,2011,0.6
Castanheira de Pêra,2011,1.8
Figueiró dos Vinhos,2011,1.3
Leiria,2011,0.5
Marinha Grande,2011,0.7
Pedrógão Grande,2011,1.6
Pombal,2011,0.8
Porto de Mós,2011,0.8
Aguiar da Beira,2011,1.3
Carregal do Sal,2011,1.0
Castro Daire,2011,1.2
Mangualde,2011,0.8
Nelas,2011,0.9
Oliveira de Frades,2011,0.7
Penalva do Castelo,2011,1.1
Santa Comba Dão,2011,1.0
São Pedro do Sul,2011,1.0
Sátão,2011,1.0
Tondela,2011,1.0
Vila Nova de Paiva,2011,1.1
Viseu,2011,0.6
Vouzela,2011,1.0
Castelo Branco,2011,0.8
Idanha-a-Nova,2011,1.8
Oleiros,2011,1.9
Penamacor,2011,1.9
Proença-a-Nova,2011,1.4
Vila Velha de Ródão,2011,1.7
Abrantes,2011,1.1
Alcanena,2011,0.8
Constância,2011,0.7
Entroncamento,2011,0.6
Ferreira do Zêzere,2011,1.1
Mação,2011,1.6
Ourém,2011,0.6
Sardoal,2011,1.2
Sertã,2011,1.1
Tomar,2011,1.1
Torres Novas,2011,0.9
Vila de Rei,2011,1.4
Vila Nova da Barquinha,2011,0.9
Almeida,2011,1.3
Belmonte,2011,1.0
Celorico da Beira,2011,1.0
Covilhã,2011,1.0
Figueira de Castelo Rodrigo,2011,1.3
Fornos de Algodres,2011,1.3
Fundão,2011,1.0
Gouveia,2011,1.5
Guarda,2011,0.7
Manteigas,2011,1.6
Mêda,2011,1.5
Pinhel,2011,1.3
Sabugal,2011,1.4
Seia,2011,1.2
Trancoso,2011,1.2
Alcochete,2011,0.5
Almada,2011,0.7
Amadora,2011,0.6
Barreiro,2011,0.8
Cascais,2011,0.5
Lisboa,2011,0.9
Loures,2011,0.6
Mafra,2011,0.4
Moita,2011,0.7
Montijo,2011,0.5
Odivelas,2011,0.4
Oeiras,2011,0.5
Palmela,2011,0.5
Seixal,2011,0.5
Sesimbra,2011,0.5
Setúbal,2011,0.6
Sintra,2011,0.4
Vila Franca de Xira,2011,0.4
Alcácer do Sal,2011,1.0
Grândola,2011,1.1
Odemira,2011,0.8
Santiago do Cacém,2011,0.7
Sines,2011,0.4
Aljustrel,2011,1.1
Almodôvar,2011,1.1
Alvito,2011,1.1
Barrancos,2011,1.1
Beja,2011,0.8
Castro Verde,2011,0.9
Cuba,2011,1.0
Ferreira do Alentejo,2011,0.9
Mértola,2011,1.5
Moura,2011,1.0
Ourique,2011,1.3
Serpa,2011,1.0
Vidigueira,2011,1.0
Almeirim,2011,0.8
Alpiarça,2011,0.9
Azambuja,2011,0.7
Benavente,2011,0.5
Cartaxo,2011,0.6
Chamusca,2011,1.1
Coruche,2011,1.1
Golegã,2011,1.0
Rio Maior,2011,0.7
Salvaterra de Magos,2011,0.8
Santarém,2011,0.8
Alter do Chão,2011,1.6
Arronches,2011,1.4
Avis,2011,1.4
Campo Maior,2011,0.7
Castelo de Vide,2011,1.3
Crato,2011,1.5
Elvas,2011,0.8
Fronteira,2011,1.2
Gavião,2011,1.8
Marvão,2011,1.5
Monforte,2011,1.5
Nisa,2011,1.7
Ponte de Sor,2011,1.0
Portalegre,2011,1.0
Sousel,2011,1.3
Alandroal,2011,1.3
Arraiolos,2011,1.0
Borba,2011,1.1
Estremoz,2011,1.0
Évora,2011,0.7
Montemor-o-Novo,2011,1.0
Mora,2011,1.3
Mourão,2011,1.3
Portel,2011,1.1
Redondo,2011,0.9
Reguengos de Monsaraz,2011,1.0
Vendas Novas,2011,0.8
Viana do Alentejo,2011,1.0
Vila Viçosa,2011,0.9
Albufeira,2011,0.3
Alcoutim,2011,2.0
Aljezur,2011,0.9
Castro Marim,2011,0.8
Faro,2011,0.5
Lagoa,2011,0.5
Lagos,2011,0.5
Loulé,2011,0.4
Monchique,2011,1.1
Olhão,2011,0.6
Portimão,2011,0.5
São Brás de Alportel,2011,0.6
Silves,2011,0.6
Tavira,2011,0.7
Vila do Bispo,2011,0.6
Vila Real de Santo António,2011,0.6
Vila do Porto,2011,0.4
Lagoa [R.A.A.],2011,0.4
Nordeste,2011,0.6
Ponta Delgada,2011,0.4
Povoação,2011,0.6
Ribeira Grande,2011,0.4
Vila Franca do Campo,2011,0.5
Angra do Heroísmo,2011,0.6
Vila da Praia da Vitória,2011,0.6
Santa Cruz da Graciosa,2011,0.8
Calheta [R.A.A.],2011,0.7
Velas,2011,0.6
Lajes do Pico,2011,0.9
Madalena,2011,0.7
São Roque do Pico,2011,0.8
Horta,2011,0.6
Lajes das Flores,2011,0.7
Santa Cruz das Flores,2011,0.7
Corvo,2011,0.4
Calheta [R.A.M.],2011,1.1
Câmara de Lobos,2011,0.5
Funchal,2011,0.7
Machico,2011,0.7
Ponta do Sol,2011,0.9
Porto Moniz,2011,1.2
Ribeira Brava,2011,0.8
Santa Cruz,2011,0.4
Santana,2011,1.2
São Vicente,2011,1.1
Porto Santo,2011,0.4
Arcos de Valdevez,2012,1.3
Caminha,2012,0.8
Melgaço,2012,1.4
Monção,2012,1.1
Paredes de Coura,2012,1.0
Ponte da Barca,2012,1.1
Ponte de Lima,2012,0.8
Valença,2012,0.8
Viana do Castelo,2012,0.7
Vila Nova de Cerveira,2012,0.8
Amares,2012,0.7
Barcelos,2012,0.6
Braga,2012,0.5
Esposende,2012,0.5
Terras de Bouro,2012,1.2
Vila Verde,2012,0.7
Cabeceiras de Basto,2012,0.9
Fafe,2012,0.7
Guimarães,2012,0.6
Mondim de Basto,2012,1.1
Póvoa de Lanhoso,2012,0.7
Vieira do Minho,2012,1.2
Vila Nova de Famalicão,2012,0.6
Vizela,2012,0.4
Arouca,2012,0.8
Espinho,2012,0.9
Gondomar,2012,0.6
Maia,2012,0.5
Matosinhos,2012,0.6
Oliveira de Azeméis,2012,0.6
Paredes,2012,0.4
Porto,2012,1.0
Póvoa de Varzim,2012,0.6
Santa Maria da Feira,2012,0.6
Santo Tirso,2012,0.8
São João da Madeira,2012,0.6
Trofa,2012,0.4
Vale de Cambra,2012,0.8
Valongo,2012,0.5
Vila do Conde,2012,0.6
Vila Nova de Gaia,2012,0.6
Boticas,2012,1.6
Chaves,2012,1.0
Montalegre,2012,1.8
Ribeira de Pena,2012,1.3
Valpaços,2012,1.8
Vila Pouca de Aguiar,2012,1.3
Amarante,2012,0.6
Baião,2012,1.0
Castelo de Paiva,2012,0.8
Celorico de Basto,2012,1.0
Cinfães,2012,1.0
Felgueiras,2012,0.5
Lousada,2012,0.4
Marco de Canaveses,2012,0.6
Paços de Ferreira,2012,0.4
Penafiel,2012,0.5
Resende,2012,1.2
