Municipality,Year,Value
Sabugal,2012,13
Seia,2012,45
Trancoso,2012,13
Alcochete,2012,40
Almada,2012,651
Amadora,2012,511
Barreiro,2012,211
Cascais,2012,1398
Lisboa,2012,8344
Loures,2012,747
Mafra,2012,152
Moita,2012,67
Montijo,2012,113
Odivelas,2012,417
Oeiras,2012,1540
Palmela,2012,136
Seixal,2012,262
Sesimbra,2012,79
Setúbal,2012,487
Sintra,2012,824
Vila Franca de Xira,2012,202
Alcácer do Sal,2012,11
Grândola,2012,13
Odemira,2012,20
Santiago do Cacém,2012,70
Sines,2012,33
Aljustrel,2012,11
Almodôvar,2012,5
Alvito,2012,2
Barrancos,2012,3
Beja,2012,172
Castro Verde,2012,4
Cuba,2012,6
