Municipality,Year,Value
Oeiras,2010,172191
Palmela,2010,62876
Seixal,2010,158285
Sesimbra,2010,49506
Setúbal,2010,121257
Sintra,2010,377680
Vila Franca de Xira,2010,136875
Alcácer do Sal,2010,13065
Grândola,2010,14876
Odemira,2010,26124
Santiago do Cacém,2010,29792
Sines,2010,14255
Aljustrel,2010,9277
Almodôvar,2010,7459
Alvito,2010,2517
Barrancos,2010,1836
Beja,2010,35904
Castro Verde,2010,7289
Cuba,2010,4884
Ferreira do Alentejo,2010,8280
Mértola,2010,7304
Moura,2010,15176
Ourique,2010,5421
Serpa,2010,15676
Vidigueira,2010,5939
Almeirim,2010,23380
Alpiarça,2010,7715
Azambuja,2010,21850
Benavente,2010,28999
Cartaxo,2010,24506
Chamusca,2010,10140
Coruche,2010,20001
Golegã,2010,5469
Rio Maior,2010,21220
Salvaterra de Magos,2010,22191
Santarém,2010,62309
Alter do Chão,2010,3588
Arronches,2010,3178
Avis,2010,4583
Campo Maior,2010,8469
Castelo de Vide,2010,3423
Crato,2010,3740
Elvas,2010,23110
Fronteira,2010,3424
Gavião,2010,4156
Marvão,2010,3529
Monforte,2010,3337
Nisa,2010,7487
Ponte de Sor,2010,16760
Portalegre,2010,24976
Sousel,2010,5098
Alandroal,2010,5869
Arraiolos,2010,7372
Borba,2010,7348
Estremoz,2010,14326
Évora,2010,56653
Montemor-o-Novo,2010,17478
Mora,2010,4995
Mourão,2010,2665
Portel,2010,6439
Redondo,2010,7055
Reguengos de Monsaraz,2010,10846
Vendas Novas,2010,11853
Viana do Alentejo,2010,5758
Vila Viçosa,2010,8338
Albufeira,2010,40796
Alcoutim,2010,2930
Aljezur,2010,5895
Castro Marim,2010,6755
Faro,2010,64600
Lagoa,2010,22985
Lagos,2010,31060
Loulé,2010,70659
Monchique,2010,6077
Olhão,2010,45401
Portimão,2010,55654
São Brás de Alportel,2010,10671
Silves,2010,37161
Tavira,2010,26215
Vila do Bispo,2010,5269
Vila Real de Santo António,2010,19176
Vila do Porto,2010,5554
Lagoa [R.A.A.],2010,14435
Nordeste,2010,4956
Ponta Delgada,2010,68795
Povoação,2010,6323
Ribeira Grande,2010,32054
Vila Franca do Campo,2010,11204
Angra do Heroísmo,2010,35406
Vila da Praia da Vitória,2010,21045
Santa Cruz da Graciosa,2010,4403
Calheta [R.A.A.],2010,3783
Velas,2010,5413
Lajes do Pico,2010,4722
Madalena,2010,6051
São Roque do Pico,2010,3390
Horta,2010,14996
Lajes das Flores,2010,1515
Santa Cruz das Flores,2010,2296
Corvo,2010,416
Calheta [R.A.M.],2010,11540
Câmara de Lobos,2010,35656
Funchal,2010,111990
Machico,2010,21851
Ponta do Sol,2010,8863
Porto Moniz,2010,2719
Ribeira Brava,2010,13387
Santa Cruz,2010,43009
Santana,2010,7731
São Vicente,2010,5733
Porto Santo,2010,5486
Arcos de Valdevez,2011,22709
Caminha,2011,16645
